"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tadapt", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref", "speed_quantile"
640.34, 34.69, -Inf, 38.13, 0.1, NA, NA, 3.44, Inf, 19.91, NA, 15, "all", 200, 536.573229831617, 0.0961918833234641, 20, 36.8810396078623, 502.276132674032, 533.232067488422, 540.61608499732, 0.088614937394896, 0.104217658711075, 0.00418966739938549, 1.96281543557652, 4
779.38, 34.74, -Inf, 38, 0.15, NA, NA, 3.26, Inf, 13.57, NA, 20, "all", 50, 590.185314520943, 0.15076919270624, 20, 36.7465393583841, 590.185314520943, 583.666712624113, 598.315387188815, 0.137567626902577, 0.167499088148311, 0.00779674199952136, 3.8004635169032, 4
750.63, 34.78, -Inf, 38.09, 0.13, NA, NA, 3.31, Inf, 15.01, NA, 20, "all", 100, 585.639798057908, 0.134199913251273, 20, 36.8377972489321, 585.639798057908, 582.741851504853, 588.710714323782, 0.126796346840743, 0.142936571542931, 0.00416236528851394, 1.54668400702227, 4
608.43, 34.59, -Inf, 38.04, 0.09, NA, NA, 3.45, Inf, 20.62, NA, 20, "all", 200, 514.210185797602, 0.0921554586896065, 20, 36.7971668570752, 514.210185797602, 510.970277419406, 517.828620912576, 0.0845580243903348, 0.0996979533395177, 0.00403031016039913, 1.80392866836406, 4
820.14, 34.78, -Inf, 37.94, 0.19, NA, NA, 3.16, Inf, 11.04, NA, 25, "all", 50, 573.960010509831, 0.193050266327608, 20, 36.6809799789316, 652.412622709321, 569.233987700588, 579.387403088172, 0.182904622486238, 0.20724455130972, 0.00598735738644036, 2.6447936340896, 4
742.51, 34.92, -Inf, 38.14, 0.17, NA, NA, 3.22, Inf, 12.39, NA, 25, "all", 100, 540.96953800017, 0.169649274505897, 20, 36.8826965139982, 605.436952832653, 537.733058509967, 545.352633456654, 0.16149832414888, 0.179188439407747, 0.00458465559952081, 1.9342780343018, 4
684.47, 34.75, -Inf, 38.06, 0.13, NA, NA, 3.31, Inf, 15.11, NA, 25, "all", 200, 535.465095472296, 0.133008450471239, 20, 36.8113249439263, 584.879911549516, 531.963462710023, 539.433460319633, 0.125317195598702, 0.143196379845591, 0.00456658626878533, 1.91320725423062, 4
771.69, 28.94, -Inf, 32.05, 0.16, 9.19, NA, 3.11, Inf, 12.3, -9.02, 15, "all", 50, 642.211745405474, 0.163856810251734, 20, 30.8379985919349, 573.868871642894, 637.04924682654, 646.865158740849, 0.152692887361943, 0.174278733188587, 0.00557049387804982, 2.55534457183121, 5
753.38, 34.83, -Inf, 38.12, 0.14, NA, NA, 3.28, Inf, 14.25, NA, 15, "all", 100, 577.76731057632, 0.143016427685829, 20, 36.862818757606, 523.72394943002, 575.386346158487, 580.667838725282, 0.137867461451951, 0.149047731846495, 0.00286749032984983, 1.32093714890613, 5
629.74, 34.72, -Inf, 38.16, 0.1, NA, NA, 3.44, Inf, 20.1, NA, 15, "all", 200, 528.433031650328, 0.0952484647797865, 20, 36.9133125272673, 494.976801074534, 525.431097194436, 532.020334487039, 0.0879764208294992, 0.102755855841438, 0.00388821805343745, 1.68961976956129, 5
763.54, 34.77, -Inf, 38.04, 0.15, NA, NA, 3.27, Inf, 13.79, NA, 20, "all", 50, 580.61453351098, 0.148204865949223, 20, 36.7839203165762, 580.61453351098, 574.431991687575, 587.810919656744, 0.136652821131291, 0.164272879464063, 0.0069843823046833, 3.45839580208422, 5
737.6, 34.81, -Inf, 38.13, 0.13, NA, NA, 3.32, Inf, 15.26, NA, 20, "all", 100, 577.714091287275, 0.131847831967889, 20, 36.8745099483925, 577.714091287275, 575.242318341216, 580.894612228837, 0.125190220943433, 0.139657676948894, 0.00371951016613059, 1.43133178911349, 5
599.34, 34.61, -Inf, 38.08, 0.09, NA, NA, 3.46, Inf, 21.04, NA, 20, "all", 200, 508.29557060274, 0.0901012786651862, 20, 36.831587207189, 508.29557060274, 504.969847513141, 511.653162138065, 0.0828527097484119, 0.0980056329829679, 0.00381313318263545, 1.69661814504456, 5
807.49, 34.8, -Inf, 37.97, 0.19, NA, NA, 3.17, Inf, 11.09, NA, 25, "all", 50, 565.416014344234, 0.192391403320498, 20, 36.7112330524133, 642.419815565733, 561.086006268373, 570.071664294291, 0.18354474252013, 0.205054670490663, 0.00533274163969171, 2.37077229500709, 5
729.5, 34.95, -Inf, 38.18, 0.17, NA, NA, 3.22, Inf, 12.51, NA, 25, "all", 100, 532.590124592035, 0.168194659130891, 20, 36.9179031495045, 595.483833839301, 529.599589749179, 536.334253228034, 0.160143710853364, 0.176663483058419, 0.00427624711902749, 1.74244574564306, 5
676.49, 34.79, -Inf, 38.1, 0.13, NA, NA, 3.31, Inf, 15.02, NA, 25, "all", 200, 527.84069992222, 0.134095387611416, 20, 36.8453088477282, 576.967949243724, 524.594758070784, 532.001524658, 0.12631660007861, 0.143877880120432, 0.00436474907021643, 1.83342970279915, 5
757.66, 28.9, -Inf, 32.01, 0.16, 9.19, NA, 3.12, Inf, 12.5, -9.03, 15, "all", 50, 633.662584706708, 0.160245230200244, 20, 30.8020035611259, 567.635486464676, 628.545294408273, 638.068066298487, 0.150067250537148, 0.170470992659055, 0.00529526432048334, 2.39462125318789, 6
737.16, 34.85, -Inf, 38.15, 0.14, NA, NA, 3.3, Inf, 14.66, NA, 15, "all", 100, 570.079963536543, 0.138362097335393, 20, 36.8925621751388, 518.409874453936, 568.067464769539, 572.698607213592, 0.133586356624421, 0.144251094694818, 0.00269405651681324, 1.17778744749883, 6
622.05, 34.74, -Inf, 38.18, 0.1, NA, NA, 3.44, Inf, 20.04, NA, 15, "all", 200, 521.433907248681, 0.0956496335205721, 20, 36.9385047073579, 488.286277361149, 518.324775382383, 524.887462176866, 0.0889748422240178, 0.103159665846441, 0.00362881093131949, 1.64373814815334, 6
