"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tadapt", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref", "speed_quantile"
1016.04, 30.75, -Inf, 46.71, 0.23, 0.79, NA, 15.96, Inf, 14.19, -0.56, 15, "all", 100, 774.733649090614, 0.254047384543963, 3.13152277909141, 37.0523247744891, 650.630579959935, 764.812590154952, 783.793050230518, 0.237012786192289, 0.271067607312118, 0.00858809934466778, 4.88086317333542, 12
843.98, 29.85, -34.82, 46.25, 0.26, 0.68, NA, 16.41, 81.07, 13.17, -0.42, 15, "all", 200, 638.953831287625, 0.298554833484098, 2.97874529823188, 35.7907494076645, 520.353343097023, 631.308796899534, 647.293486340092, 0.277872128728379, 0.319327360057064, 0.0105940367974796, 4.04428572226075, 12
729.69, 32.47, -27.43, 44.97, 0.29, 1, NA, 12.49, 72.4, 11.16, -0.71, 20, "all", 50, 464.692821897441, 0.333388161171827, 3.99026484270019, 37.3847232988165, 464.625547116011, 444.137889866087, 489.214245431315, 0.285915223129325, 0.390262310735997, 0.0265713080896599, 11.6153488872079, 12
847.8, 31.43, -31.95, 44.83, 0.29, 0.84, NA, 13.4, 76.78, 11.94, -0.55, 20, "all", 100, 585.128243460114, 0.308154661211833, 3.70713270173257, 36.6969109390095, 584.912582610155, 571.729830998062, 599.339525419559, 0.281226262935631, 0.335209787358971, 0.0140339278310085, 6.95668688655993, 12
746.75, 31.01, -29.99, 46.31, 0.29, 0.87, NA, 15.3, 76.3, 12.28, -0.58, 20, "all", 200, 522.135715019877, 0.324232792316681, 3.20441510384132, 36.5449555662546, 521.539888196696, 517.390119613077, 527.493776196883, 0.308991341455315, 0.337774403476377, 0.00748399110988202, 2.59364448352378, 12
853.02, 32.17, -Inf, 43.91, 0.2, 0.84, NA, 11.74, Inf, 14.66, -0.64, 25, "all", 50, 654.037132037722, 0.196479662598939, 4.52956546558358, 37.7600241042138, 744.591388747787, 640.242840643878, 667.636678079842, 0.172925174361636, 0.220260862349047, 0.0122374834305747, 7.12322314327515, 12
889.87, 31.59, -35.49, 45.73, 0.27, 0.8, NA, 14.15, 81.22, 12.7, -0.53, 25, "all", 100, 629.080421708686, 0.286843580314845, 3.53133281701367, 37.1844987566218, 757.55220947993, 620.039779045791, 636.378440348811, 0.273049744721053, 0.303202342428213, 0.00801316335846193, 4.37638177190819, 12
826.88, 33.46, -Inf, 44.92, 0.21, 1.06, NA, 11.46, Inf, 13.4, -0.85, 25, "all", 200, 585.575075744891, 0.227895504025667, 4.60565499390302, 38.7461724457052, 680.93406962395, 578.01657616643, 593.284481360145, 0.214394520356851, 0.2415428617049, 0.0069725052619025, 3.90261009267511, 12
929.68, 28.96, -30.8, 47.77, 0.29, 0.69, NA, 18.81, 78.57, 13.31, -0.39, 15, "all", 50, 723.800591913166, 0.330979296397692, 2.56246042061154, 34.9393187607694, 575.926521093467, 715.629594377255, 731.160226786584, 0.31558696554246, 0.347616963056974, 0.00843968366124966, 3.96358338844265, 13
1011.27, 30.69, -Inf, 46.87, 0.23, 0.78, NA, 16.18, Inf, 14.22, -0.56, 15, "all", 100, 772.155244990989, 0.256069437978343, 3.0823790347405, 37.0178339284107, 647.551676457627, 762.627388755573, 780.828537775349, 0.241852468492212, 0.273226414839481, 0.00829527868325899, 4.76229898997705, 13
839.64, 29.76, -34.29, 46.39, 0.26, 0.68, NA, 16.63, 80.69, 13.17, -0.41, 15, "all", 200, 636.671070811373, 0.302328331887857, 2.93263244760175, 35.7098962823221, 517.125663239038, 629.470106031846, 645.031929648009, 0.280573173403527, 0.322194330145435, 0.0105711993439601, 3.95823622020323, 13
722.72, 32.53, -26.35, 44.9, 0.33, 1.18, NA, 12.37, 71.25, 10.99, -0.85, 20, "all", 50, 454.113033680592, 0.340874203041046, 4.02715000507095, 37.3714987387434, 454.052059178693, 435.864234986874, 477.834612543438, 0.293533838971942, 0.394928609616067, 0.0260433937826336, 10.9827370547825, 13
842.77, 31.48, -32.55, 44.74, 0.29, 0.84, NA, 13.26, 77.28, 11.98, -0.55, 20, "all", 100, 582.737697999963, 0.304147178232961, 3.75477772005572, 36.7395916021094, 582.54738133546, 569.429331190496, 596.884736791479, 0.278309992294698, 0.332235633020193, 0.0139593904795714, 6.87660029279242, 13
742.55, 31.03, -30.07, 46.13, 0.29, 0.89, NA, 15.1, 76.2, 12.22, -0.6, 20, "all", 200, 518.402933611934, 0.323442016075309, 3.24884262669339, 36.5358524947668, 517.862417164914, 513.632349995159, 523.778534175446, 0.30931421567946, 0.33792277939723, 0.00709196539996823, 2.58532303255687, 13
840.37, 32.26, -Inf, 43.81, 0.2, 0.82, NA, 11.55, Inf, 14.79, -0.63, 25, "all", 50, 646.045841974578, 0.192291802244761, 4.62731773527767, 37.809655598024, 733.541193683723, 631.578321187922, 660.466321611844, 0.168280150403755, 0.217063636213156, 0.0120940030514222, 7.38286126912265, 13
