current_date,starting_date,name,current_count,starting_count,previous_count,cultured_at_start_ml,volume_at_start_ml,culture_time_days,growth_rate_gen_per_day
2021-03-12,2021-03-10,25_100_D,185000,771.4285714,97200, 0.1 , 12.6 ,2.0000,3.9529
2021-03-15,2021-03-12,25_100_A,6666,98.03921569,5000,0.25,12.75,3.0000,2.0291
2021-03-15,2021-03-12,25_100_B,6666,33.33333333,1700,0.25,12.75,3.0000,2.5479
2021-03-15,2021-03-12,25_100_C,730000,4215.686275,215000,0.25,12.75,3.0000,2.4787
2021-03-15,2021-03-12,25_100_D,790000,3627.45098,185000,0.25,12.75,3.0000,2.5889
2021-03-17,2021-03-15,25_100_C,196000,5793.650794,730000,0.1,12.6,2.0000,2.5401
2021-03-17,2021-03-15,25_100_D,270000,6269.84127,790000,0.1,12.6,2.0000,2.7142
2021-03-19,2021-03-15,25_100_A,61666,130.7058824,6666,0.25,12.75,4.0000,2.2205
2021-03-19,2021-03-15,25_100_B,26700,130.7058824,6666,0.25,12.75,4.0000,1.9186
2021-03-19,2021-03-17,25_100_C,77500,1555.555556,196000,0.1,12.6,2.0000,2.8193
2021-03-19,2021-03-17,25_100_D,85000,2142.857143,270000,0.1,12.6,2.0000,2.6549
2021-03-22,2021-03-19,25_100_A,755000,1209.137255,61666,0.25,12.75,3.0000,3.0955
2021-03-22,2021-03-19,25_100_B,422500,523.5294118,26700,0.25,12.75,3.0000,3.2188
2021-03-22,2021-03-19,25_100_C,317500,615.0793651,77500,0.1,12.6,3.0000,3.0039
2021-03-22,2021-03-19,25_100_D,298333,674.6031746,85000,0.1,12.6,3.0000,2.9296
2021-03-23,2021-03-22,25_100_A,92500,11889.76378,755000,0.2,12.7,1.0000,2.9597
2021-03-23,2021-03-22,25_100_B,112000,6653.543307,422500,0.2,12.7,1.0000,4.0732
2021-03-23,2021-03-22,25_100_C,135000,5000,317500,0.2,12.7,1.0000,4.7549
2021-03-23,2021-03-22,25_100_D,51200,4698.15748,298333,0.2,12.7,1.0000,3.4460
2021-03-24,2021-03-23,25_100_A,15000,1456.692913,92500,0.2,12.7,1.0000,3.3642
2021-03-24,2021-03-23,25_100_B,28300,1763.779528,112000,0.2,12.7,1.0000,4.0041
2021-03-24,2021-03-23,25_100_C,26700,2125.984252,135000,0.2,12.7,1.0000,3.6506
2021-03-24,2021-03-23,25_100_D,12000,806.2992126,51200,0.2,12.7,1.0000,3.8956
2021-03-26,2021-03-24,25_100_A,13000,177.8656126,15000,0.15,12.65,2.0000,3.0958
2021-03-26,2021-03-24,25_100_B,12500,335.5731225,28300,0.15,12.65,2.0000,2.6096
2021-03-26,2021-03-24,25_100_C,18300,316.6007905,26700,0.15,12.65,2.0000,2.9265
2021-03-26,2021-03-24,25_100_D,18300,142.2924901,12000,0.15,12.65,2.0000,3.5034
2021-03-29,2021-03-26,25_100_A,255000,103.1746032,13000,0.1,12.6,3.0000,3.7571
2021-03-29,2021-03-26,25_100_B,165000,99.20634921,12500,0.1,12.6,3.0000,3.5666
2021-03-29,2021-03-26,25_100_C,340000,145.2380952,18300,0.1,12.6,3.0000,3.7310
2021-03-29,2021-03-26,25_100_D,230000,145.2380952,18300,0.1,12.6,3.0000,3.5430
2021-03-30,2021-03-29,25_100_A,46666,4015.748031,255000,0.2,12.7,1.0000,3.5386
2021-03-30,2021-03-29,25_100_B,31666,2598.425197,165000,0.2,12.7,1.0000,3.6072
2021-03-30,2021-03-29,25_100_C,100000,5354.330709,340000,0.2,12.7,1.0000,4.2231
2021-03-30,2021-03-29,25_100_D,48333,3622.047244,230000,0.2,12.7,1.0000,3.7381
2021-03-31,2021-03-30,25_100_A,31666,915.0196078,46666,0.25,12.75,1.0000,5.1130
2021-03-31,2021-03-30,25_100_B,30000,620.9019608,31666,0.25,12.75,1.0000,5.5945
2021-03-31,2021-03-30,25_100_C,15000,1960.784314,100000,0.25,12.75,1.0000,2.9355
2021-03-31,2021-03-30,25_100_D,30000,947.7058824,48333,0.25,12.75,1.0000,4.9844
2021-04-09,2021-04-07,25_100_A,133333,544.5544554,55000,0.1,10.1,2.0000,3.9679
2021-04-09,2021-04-07,25_100_B,93333,633.6633663,64000,0.1,10.1,2.0000,3.6013
2021-04-09,2021-04-07,25_100_C,111666,792.0792079,80000,0.1,10.1,2.0000,3.5697
2021-04-09,2021-04-07,25_100_D,195000,775.5742574,78333,0.1,10.1,2.0000,3.9870
2021-03-12,2021-03-10,25_200_A,26666,39.68253968,5000, 0.1 , 12.6 ,2.0000,4.6961
2021-03-12,2021-03-10,25_200_B,10000,39.68253968,5000, 0.1 , 12.6 ,2.0000,3.9886
2021-03-12,2021-03-10,25_200_C,56666,771.4285714,97200, 0.1 , 12.6 ,2.0000,3.0994
2021-03-12,2021-03-10,25_200_D,78333,771.4285714,97200, 0.1 , 12.6 ,2.0000,3.3330
2021-03-15,2021-03-12,25_200_A,11666,522.8627451,26666,0.25,12.75,3.0000,1.4932
2021-03-15,2021-03-12,25_200_B,11666,196.0784314,10000,0.25,12.75,3.0000,1.9649
2021-03-15,2021-03-12,25_200_C,610000,1111.098039,56666,0.25,12.75,3.0000,3.0336
2021-03-15,2021-03-12,25_200_D,760000,1535.941176,78333,0.25,12.75,3.0000,2.9836
2021-03-17,2021-03-15,25_200_C,295000,4841.269841,610000,0.1,12.6,2.0000,2.9646
2021-03-17,2021-03-15,25_200_D,273000,6031.746032,760000,0.1,12.6,2.0000,2.7501
2021-03-19,2021-03-15,25_200_A,58333,228.745098,11666,0.25,12.75,4.0000,1.9986
2021-03-19,2021-03-15,25_200_B,230000,228.745098,11666,0.25,12.75,4.0000,2.4934
2021-03-19,2021-03-17,25_200_C,200000,2341.269841,295000,0.1,12.6,2.0000,3.2083
